date,sector,sentiment_lagged
2020-02-03,Comm,-0.09008000000000001
2020-02-03,Consumer,0.11648
2020-02-03,Energy,0.40312000000000003
2020-02-03,Financials,0.26064
2020-02-03,Healthcare,0.56572
2020-02-03,Industrials,-0.03226000000000001
2020-02-03,Materials,-0.0246
2020-02-03,RealEstate,0.217
2020-02-03,Tech,0.3754
2020-02-03,Utilities,0.29778000000000004
2020-02-04,Comm,0.49734
2020-02-04,Consumer,0.51572
2020-02-04,Energy,0.10278000000000001
2020-02-04,Financials,0.06861999999999999
2020-02-04,Healthcare,0.54454
2020-02-04,Industrials,0.19204
2020-02-04,Materials,0.37432
2020-02-04,RealEstate,0.15356
2020-02-04,Tech,0.15272000000000002
2020-02-04,Utilities,0.49442
2020-02-05,Comm,0.36811999999999995
2020-02-05,Consumer,0.62352
2020-02-05,Energy,0.15386000000000002
2020-02-05,Financials,0.35734
2020-02-05,Healthcare,0.47636
2020-02-05,Industrials,0.36174
2020-02-05,Materials,0.11194
2020-02-05,RealEstate,0.20492
2020-02-05,Tech,0.22586
2020-02-05,Utilities,0.22474
2020-02-06,Comm,0.26396
2020-02-06,Consumer,0.1584
2020-02-06,Energy,0.86344
2020-02-06,Financials,-0.048160000000000015
2020-02-06,Healthcare,0.6314
2020-02-06,Industrials,0.28422000000000003
2020-02-06,Materials,0.06952
2020-02-06,RealEstate,0.12856
2020-02-06,Tech,0.53344
2020-02-06,Utilities,0.15345999999999999
2020-02-07,Comm,0.16438
2020-02-07,Consumer,0.56066
2020-02-07,Energy,0.56438
2020-02-07,Financials,0.45691999999999994
2020-02-07,Healthcare,0.5643
2020-02-07,Industrials,0.3407
2020-02-07,Materials,0.20238
2020-02-07,RealEstate,0.51418
2020-02-07,Tech,0.57576
2020-02-07,Utilities,0.3027
2020-02-10,Comm,0.33256
2020-02-10,Consumer,0.15461999999999998
2020-02-10,Energy,0.49094
2020-02-10,Financials,0.34096
2020-02-10,Healthcare,0.48762
2020-02-10,Industrials,0.23664000000000002
2020-02-10,Materials,-0.03526
2020-02-10,RealEstate,0.24574
2020-02-10,Tech,0.29413999999999996
2020-02-10,Utilities,0.27436
2020-02-11,Comm,0.48834
2020-02-11,Consumer,-0.04483999999999999
2020-02-11,Energy,-0.07936000000000001
2020-02-11,Financials,0.37122
2020-02-11,Healthcare,0.29942
2020-02-11,Industrials,0.27598
2020-02-11,Materials,0.20534
2020-02-11,RealEstate,0.28842
2020-02-11,Tech,0.49424
2020-02-11,Utilities,0.20705999999999997
2020-02-12,Comm,0.3494
2020-02-12,Consumer,0.31344
2020-02-12,Energy,0.32152000000000003
2020-02-12,Financials,0.4476
2020-02-12,Healthcare,0.15508
2020-02-12,Industrials,0.07754000000000001
2020-02-12,Materials,0.13624000000000003
2020-02-12,RealEstate,0.41154
2020-02-12,Tech,0.15304
2020-02-12,Utilities,0.44020000000000004
2020-02-13,Comm,0.31352
2020-02-13,Consumer,0.14954
2020-02-13,Energy,0.29481999999999997
2020-02-13,Financials,0.23288000000000003
2020-02-13,Healthcare,0.20614
2020-02-13,Industrials,0.13994
2020-02-13,Materials,0.059199999999999996
2020-02-13,RealEstate,0.39161999999999997
2020-02-13,Tech,0.23967999999999998
2020-02-13,Utilities,0.41757999999999995
2020-02-14,Comm,0.36416
2020-02-14,Consumer,-0.06064000000000003
2020-02-14,Energy,0.23041999999999999
2020-02-14,Financials,0.18622
2020-02-14,Healthcare,0.23668
